,title,summary,detailed_description,facility_name,facility_address,status,source
118,Clinical Performance of the VivaDiag ™ COVID-19 lgM / IgG Rapid Test in a Cohort of Negative Patients for Coronavirus Infection for the Early Detection of Positive Antibodies for COVID-19, This study aim to evaluate the immune response of negative patients during a COVID-19 outbreak. Patients are serially tested with a VivaDiag ™ COVID-19 lgM / IgG Rapid Test to evaluate the immune response in negative patients and the reliability of the test in those patients who develop clinical signs of COVID-19 during the trial. ," This study aim to evaluate the immune response of negative patients during a COVID-19 outbreak in patients with no symptoms and with no known exposure to the COVID-19. Patients are tested with a VivaDiag ™ COVID-19 lgM / IgG Rapid Test at day 0, day 7 and day 14. The investigators expect test to be negative on all the measurements in those patients that do not develop symptoms and that continue to have no known history of exposure to COVID-19 Patients that develop symptoms (cough, fever or respiratory distress) and a possible contact with people positive for COVID-19 OR patients that show a positive VivaDiag test during the time frame of the test are asked to attend the COVID-19 RT - PCR &CT. Subsequently, the investigators will continue, repeating two tests seven days apart every 30 days (predefined times 0-7-14, then 30-37, 60-67) for the next six months. The investigators can evaluate to stop the test however before the six months if there are no new cases of COVID-19 for at least 21 days in the region where the enrolled patients live. The test in use is the VivaDiag ™ COVID-19 lgM / IgG Procedure (as per the protocol in use for the administration of the test) 1. take out the test kit and leave it at least 30 minutes in the room where the test will be performed. 2. place the test equipment on a clean and dust-free surface 3. First insert 10µL of whole blood or serum or plasma in the area reserved for blood (in the well) present on the test, then apply 2 drops of buffer. 4. read the result after 15 minutes Interpretation of test results Positive result 1. The anti-COVID-19 lgM antibody is detected if: the quality control band C and the lgM band are both colored and the lgG band does not stain. This means that the anti-COVID-19 lgM antibody is positive. 2. The anti-COVID-19 lgG antibody is detected if: the quality control band C and the lgG band are both colored and the lgM band does not stain. This means that the COVID-19 lgG antibody is positive. 3. The lgG and lgM anti-COVID-19 antibodies are detected if: the C band, the lgG band and the lgM band are all three colored. This means that the anti-COVID-19 lgG and lgM antibodies are both positive. Negative result The anti-COVID-19 lgG and lgM antibodies are not detected if only the quality control C band is stained but the lgG and lgM bands are not colored, this means that the test is negative. Invalid result If the quality control band C does not color, regardless of whether the lgG and lgM bands are colored or not, the result is invalid and the test must be started again. Specs of the test Product Name VivaDiag™ COVID-19 IgM/IgG Rapid Test Test Principle Colloidal gold Sample Type Whole blood (from vein or fingertip), serum or plasma Sample Volume 10 μL Test Time 15 min Operation Temperature 18-25ºC Storage Temperature 2-30ºC Shelf Life (Unopened) 12 months ","Unità' Complesse di cure primarie (UCCP), ASP Catanzaro","Catanzaro, Italy",Not yet recruiting,"Centro Studi Internazionali, Italy"
119,"A Randomized, Double-blind, Placebo-controlled, Multi-site, Phase III Study to Evaluate the Safety and Efficacy of CD24Fc in COVID-19 Treatment"," The study is designed as a randomized, placebo-controlled, double blind, multicenter, Phase III trial to compare two COVID-19 treatment regimens in hospitalized adult subjects who are diagnosed with severe COVID 19 and absolute lymphocyte counts ≤ 800/mm^3 in peripheral blood. Arm A: CD24Fc/Best Available Treatment, Arm B: placebo/ Best Available Treatment. CD24Fc will be administered as single dose of 480 mg via IV infusion on Day 1. Total of 230 subjects will be enrolled and randomized in 1:1 ratio to receive CD24Fc or placebo. Serum cytokine IL-6 level will be used as stratification factor in randomization. All subjects will be treated with the best available treatment. The follow up period is 15 days. "," As the newest global medical emergency, the COVID-19 (diagnosed SARS-CoV2 infection with lung involvement) exhibits features that are unlikely ameliorated by antivirals-based approaches alone. First, although the new coronavirus (SARS-CoV-2) infect lung and intestine, many patients suddenly take a turn for the worse even when the viral replication appears to be under control. Second, patients with serious or critical clinical symptoms show remarked T cell lymphopenia that are more severe and more acute than human immunodeficiency virus (HIV) infection. Functional exhaustion of T cells is suggested by high expression of T-cell exhaustion markers, which again appears more acute than in HIV patients. Third, multiple cytokines are elevated among patients with severe clinical symptoms, which potentially explains the multiple organ failure associated with COVID-19. For these reasons, treatment of COVID-19 likely requires a combination of both antivirals and non-antivirals-based approaches. CD24Fc is a biological immunomodulator in Phase II/III clinical trial stage. CD24Fc comprises the nonpolymorphic regions of CD24 attached to the Fc region of human IgG1. We have shown that CD24 is an innate checkpoint against the inflammatory response to tissue injuries or danger-associated molecular patterns (DAMPs). Preclinical and clinical studies have demonstrated that CD24Fc effectively address the major challenges associated with COVID-19. First, a Phase I clinical trial on healthy volunteers not only demonstrated safety of CD24Fc, but also demonstrated its biological activity in suppressing expression of multiple inflammatory cytokines. Second, in Phase II clinical trial in leukemia patients undergoing hematopoietic stem cell transplantation (HCT), three doses of CD24Fc effectively eliminated severe (Grade 3-4) acute graft vs host diseases (GVHD), which is caused by over reacting immune system and transplanted T cells attacking recipient target tissues. Third, in preclinical models of HIV/SIV infections, we have shown that CD24Fc ameliorated production of multiple inflammatory cytokines, reversed the loss of T lymphocytes as well as functional T cell exhaustion and reduced the leukocyte infiltration of multiple organs. It is particularly noteworthy that CD24Fc reduced the rate of pneumonia in SIV-infected Chinese rhesus monkey from 83% to 33%. Therefore, CD24Fc maybe a prime candidate for non-antiviral biological modifier for COVID-19 therapy. The phase III trial will involve 230 patients randomized into blinded placebo and CD24Fc arms, with time to clinical improvement from severe to mild symptom as the primary endpoint. ","Institute of Human Virology, University of Maryland Baltimore","Baltimore, United States",Not yet recruiting,"OncoImmune, Inc."
120,"Study to Characterize Patients With SARS-Cov-2 Infection and to Create a Biobank to Identify Predictors of Disease Severity, Mortality and Treatment Response"," Collection and analysis of demographic, clinical, radiographic and laboratory characteristics of CoViD-19 patients to identify predictors of disease severity, mortality and treatment response, and to identify subgroup of patients that might benefit from specific therapeutic interventions ",,Università Vita-Salute San Raffaele,"Milano, Italy",Recruiting,Università Vita-Salute San Raffaele
121,Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy," The Novel Coronavirus (2019-nCoV), also known as Wuhan coronavirus, causes the 2019-nCoV acute respiratory disease. "," Coronaviruses (CoVs) are the largest group of viruses belonging to the Nidovirales order. They are enveloped, non-segmented positive-sense RNA viruses. Coronavirus are believed to cause a significant proportion of all common colds in adults and children. The Novel Coronavirus (2019-nCoV), also known as Wuhan coronavirus, causes the 2019-nCoV acute respiratory disease. The initial cases of 2019-nCoV occurred in Wuahn, China in December 2019. A recent review evaluated the potential impact of 2019-nCoV in pregnancy. The authors reported published data on CoVs in pregnant women, including 2019-nCoV, severe acute respiratory syndrome (SARS-COV) and Middle East respiratory syndrome (MERS-COV). The review included 12 women with SARS-COV,4 11 women MERS-COV,5 and 9 women with 2019-n-CoV6 in pregnancy. No cases of vertical trasmission were reported, but the authors showed an high rate of preterm birth (45.8%), cesarean delivery (70.8%), maternal admission to intensive care unit (ICU) (63.3%), and maternal death (18.8%). The aim of this study was to evaluate the pregnancy and perinatal outcomes of pregnant women with 2019-n-CoV. This was a multicenter, retrospective, cohort study. Clinical records and compiled data of all consecutive hospitalized and outpatient pregnant women with laboratory-confirmed 2019-n-CoV Data on recent exposure history, clinical symptoms or signs, laboratory findings, and maternal and perinatal outcomes were collected. All medical recors were sent to the coordinator center. Data were entered into a computerized database and cross-checked. If the core data were missing, requests for clarification were sent to the coordinators. ",Gabriele Saccone,"Napoli, Italy",Recruiting,Federico II University
122,"Investigation of Physical Activity, Quality of Life and Stress Levels of Individuals Who Live in Their Homes Isolated Because of Coronavirus (COVID-19) Disease"," The aim of our study is to investigate the physical activity, quality of life and stress levels of individuals living in their homes isolated due to coronavirus (COVID-19) disease. The last three sections of the International Physical Activity Questionnaire (IPAQ) will be used to evaluate the current physical activity level of the participants. Parameters such as housework, home care and family care, rest, sports and leisure physical activities, sitting time will be evaluated. Short Form 12 (Short Form12- SF12) quality of life scale will be used to evaluate health-related quality of life. Beck Depression Scale will be applied to investigate the stress levels of the individuals participating in our study. "," Coronaviruses (CoV) make up a large family of viruses found in nature. The first CoV of this decade called 2019-nCoV originated in Wuhan, China. On January 30, 2020, the International Public Health Emergency"" was declared by the World Health Organization (WHO). As of February 11, 2020, the data of the World Health Organization (WHO) reported more than 43,000 confirmed cases in 28 countries. As of March 19, 2020, 2019-nCoV reported more than 150 countries, 209,839 cases and 8,778 cases resulted in death. Since efforts to design and develop an antiviral agent will take time to combat the currently occurring coronavirus pathogen, great emphasis is placed on implementing control measures to minimize the risk of 2019-nCoV transmission and spread. Countries have implemented serious interventions to prevent the spread of the disease. Some of those, holiday of schools, cancellation of all crowded meetings, the cancellation of social events and organizations, encouraging citizens to work and stay at home and provide social isolation. Turkey is also taken similar measures to control the outbreak. In this process, people isolate themselves in their homes and live a quiet life away from the social environment. Being away from the social environment and loneliness are among the factors that contribute negatively to the mental health of individuals. It is also an issue associated with quality of life and depressive symptoms. It is uncertain how and how much an individual's isolated life at home affects the level of physical activity. The aim of our study is to investigate the physical activity, quality of life and stress levels of individuals living in their homes isolated due to coronavirus (COVID-19) disease. """,Istanbul University Cerrahpasa,"Istanbul, Turkey",Not yet recruiting,Istanbul University-Cerrahpasa
123,Clinical Trial of Favipiravir Tablets Combine With Chloroquine Phosphate in the Treatment of Novel Coronavirus Pneumonia," This study is a multi-centered, three-armed, randomized, double-blinded, controlled study, namely, the oral trial drug favipiravir tablets plus chloroquine phosphatetablets tablets group (combined group), the oral trial drug favipiravir tablets group (pirovir group), and the oral placebo treatment group (control group). The total number of enrolled cases in this study was set at 150. During the treatment, the clinical data of the subjects were collected, the changes of viral load and biochemical indicators were detected, and the outcome of the subjects was monitored. The main indicators of efficacy include improvement or recovery of respiratory symptoms and viral nucleic acid shedding. The rate of progression to severe disease, duration of fever, peripheral blood index and improvement time of pulmonary imaging were the secondary indicators to evaluate the efficacy. Statistical analysis was performed at the middle and final stages of the study to evaluate the efficacy and safety of favipiravir tablets combined with chloroquine phosphatetablets tablets in the treatment of novel coronavirus pneumonia. ",,Beijing Chaoyang hospital,"Beijing, China",Recruiting,Beijing Chao Yang Hospital
124,Impact of Social Media on Knowledge Dissemination Between Physicians During COVID-19 Virus Outbreak, The recent COVID-19 outbreak is very challenging as data are distributed instantly on the data are very rapidly distributed through professional and non professional sources which may impact the management of the disease , We are conducting a survey between the physicians to study the effect and practice of received knowledge disseminated through social media . the survey will be distributed through internet and data will be collected and analyzed ,Assiut University Hospitals,"Assiut, Egypt",Recruiting,Assiut University
125,Automated Oxygen Titration - Monitoring and Weaning in Patients With Infectious Pneumonia Requiring Oxygen - Impact on the Number of Interventions for Healthcare Workers. An Innovative Device to Manage Patients With COVID-19 Pneumonia COVID Study (Closed-Loop Oxygen to Verify That Healthcare Workers Interventions Decreaseduring Pneumonia)," There is a high risk of transmission of COVID-19 to healthcare workers. In a recent cohort, 29% of the patients hospitalized were healthcare workers. Among the WHO's primary strategic objectives for the response to COVID-19, the first was to limit human-to-human transmission, including reducing secondary infections among close contacts and health care workers. Automated oxygen titration, weaning and monitoring (FreeO2 device) may be a solution to reduce the number of interventions of healthcare workers related to oxygen therapy, to reduce complications related to oxygen and to improve monitoring. ",,,,Not yet recruiting,Laval University
126,Joint Use of Electrocardiogram and Transthoracic Echocardiography in an Observational Study to Monitor Cardio-vascular Events in Patients Diagnosed With COVID-19," COVID-19 outbreak is often lethal. Morality has been associated with several cardio-vascular risk factors such as diabetes, obesity, hypertension and tobacco use. Furthermore, cases of myocarditis have been reported with COVID-19. Cardio-vascular events have possibly been highly underestimated. The study proposes to systematically collect cardio-vascular data to study the incidence of myocarditis and coronaropathy events during COVID-19 infection. ",,Clinical Investigation Center Pitié-Salpêtrière,"Paris, France",Recruiting,Groupe Hospitalier Pitie-Salpetriere
127,Multicentric Study of Coronavirus Disease 2019 (COVID-2019) in Solid Organ Transplant Recipients," The overall purpose of this project is to better understand the incidence, risk factors, etiology, clinical manifestations and outcome of tCOVID19 in solid organ transplant recipients. The results obtained will allow us to gain insight on the need of antiviral treatment, on the strategy for complications surveillance, on how to adjust the immunosuppressant therapy and on the level of care in which each patient should be treated. In order to attain the objectives previously described we will develop a multicenter prospective study of consecutive cases of COVID-19 among solid organ transplant recipients. ", There will be a clinical follow-up of the patients included in this study to observe possible complications and survival rate. Data collected form this study will be evaluated with a descriptive statistical analysis of the cohort consisting of analysis of the risk factors of COVID-19. Subsequently a multivaried logistic regression analysis will be performed in which the factors selected from the analysis and those clinically relevant. ,,,Not yet recruiting,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla
128,An Clinic Trial of Recombinant Human Interferon Alpha Nasal Drops to Prevent Coronavirus Disease 2019 in Medical Staff in Epidemic Area, We plan to carry out an experimental study on the preventive effect of recombinant human interferon alpha nasal drops on the infection of 2019 new coronavirus in medical staff. ," We plan to carry out an experimental study enrolling more than 2000 medical staff and divide them into low-risk group and high-risk group according to whether they directly exposed to 2019-nCOV infected patients. In the low-risk group, medical staff will be given recombinant human interferon alpha-1b nasal drops (2-3 drops / /nostril/ time, 4 times/ day), and in the high-risk group they will be given preventive intervention with interferon nasal drops and thymosin-α (thymosin was injected subcutaneously once / week), and the intervention time is 28 days. ",Taihe Hospital,"Shiyan, China",Recruiting,Shanghai Jiao Tong University School of Medicine
129,Hydroxychloroquine Post Exposure Prophylaxis (PEP) for Household Contacts of COVID-19 Patients: A NYC Community-Based Randomized Clinical Trial, The purpose of this study is to test the hypothesis that post-exposure prophylaxis with hydroxychloroquine will reduce the symptomatic secondary attack rate among household contacts of known or suspected COVID-19 patients. ," COVID-19 is a massive threat to public health worldwide. Current estimates suggest that the novel coronavirus (SARS-CoV-2) is both highly contagious (estimated reproductive rate, 2-3) and five to fifty-fold more lethal than seasonal influenza (estimated mortality rate, 0.5-5%). Interventions to decrease the incidence and severity of COVID-19 are emergently needed. Hydroxychloroquine (brand name, Plaquenil), an inexpensive anti-malarial medication with immunomodulatory effects, is a promising therapy for COVID-19. Chloroquine, a related compound with a less favorable toxicity profile, has shown benefit in clinical studies conducted in approximately one-hundred SARS-CoV-2 infected patients. In vitro, hydroxychloroquine has been recently shown to have greater efficacy against SARS-CoV-2 versus chloroquine. Currently, there is no established post-exposure prophylaxis for persons at high risk of developing COVID-19. Hydroxychloroquine (brand name, Plaquenil), is a medicine that has been found to be effective against the novel coronavirus in some recent experiments. Previously, hydroxychloquine has been safety used to prevent malaria or to treat autoimmune diseases. This study will test if hydroxychloroquine may be used to prevent the development of COVID-19 symptoms in persons who live with an individual who has been diagnosed with COVID-19. If hydroxychloroquine is shown to reduce the risk of developing symptoms of COVID-19 among people at high risk of infection, this could help to reduce the morbidity and mortality of the COVID-19 epidemic. This is a trial of hydroxychloroquine PEP among adult household contacts of COVID-19 patients in New York City (NYC). The trial will be initiated at NewYork-Presbyterian (NYP)/Columbia University Irving Medical Center (CUIMC). ",Columbia University Irving Medical Center,"New York, United States",Not yet recruiting,Columbia University
130,"COVID CT, Beaumont Quantitative Lung Function Imaging to Characterize Patients With SARS-COV 2"," The goal of this study is to evaluate if CT (Computerized Tomography) can effectively and accurately predict disease progression in patients with SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2). You may be eligible if you have been diagnosed with SARS-CoV-2, are an inpatient at Beaumont Hospital-Royal Oak and meet eligibility criteria. After consent and determination of eligibility, enrolled patients will have a CT scanning session. After the CT scan, patients are followed for 30 days by reviewing their medical records and by phone after discharge from hospital. "," Beaumont Quantitative CT lung function imaging (BQLFI) uses mathematical modeling to determine regional differences in ventilation (CT-V) and pulmonary blood mass (PBM) from a pair of inspiration-expiration CT scans or time-resolved four-dimensional (4D) CT scans. CT-V and PBM images provide surrogates for pulmonary ventilation and perfusion, respectively, in the form of detailed functional maps. CT-V and PBM therefore allow us to distinguish healthy from abnormal lung. Moreover, the technique generalizes to recover lung compliance imaging (LCI) when the CT is acquired at different pressure settings, in order to characterize lung stiffness. PBM and CT-V can detect parenchymal lung function changes at a voxel level and can be used to 1) assess disease progression in SARS-CoV-2, 2) detect treatment effects, and 3) identify early changes in high-risk patients prior to their development of disease. BQLFI affords the opportunity to provide imaging biomarkers that enable the early diagnosis of lung injury, which in turn cause impairment in gas exchange at the level of alveolar capillary interface. Currently, there are no available imaging biomarkers to predict patients at risk of progression or identify those at risk of developing severe disease with SARS-CoV-2. Our proposed study will validate a novel methodology, based on state-of-the-art CT-V and PBM imaging that can accurately measure regional ventilation and perfusion, as a means for improving surveillance, diagnosis, and prognostication of patients with SARS-CoV-2. This is a prospective, pilot study of 25 adult patients with SARS-CoV-2, who have mild to moderate disease, defined as positive PCR screen and not requiring invasive mechanical ventilator support or noninvasive ventilation or high flow nasal cannula. Participants will provide informed consent and eligibility will be confirmed. Demographics and medical history will be obtained. Participants will undergo one inspiration-expiration CT. Outcomes and adverse events will be assessed over 30 day using chart review or phone interview. ",Beaumont Hospital - Royal Oak,"Royal Oak, United States",Recruiting,William Beaumont Hospitals
131,Risk Factors for Community- and Workplace Transmission of COVID-19, The project is an epidemiological observational study based on an electronic questionnaire on risk factors for COVID-19 in the community and healthcare setting. ," Summary The data collected will identify real-life risk factors for getting the COVID-19 diagnosis. The Oslo University Hospital/University of Oslo web-based solution nettskjema"" will be used to collect data and consent forms. The impact of knowing the risk factors for COVID-19 is tremendous because it can enable governments to conduct more targeted public health measurements than today to reduce the spread of the virus. Detailed description Research into an ongoing COVID-19 outbreak is difficult because patients are isolated, and supplies of personal protective equipment (PPE) supplies are limited. The risk of transmission to study personal is non-negligible even when PPE is available. A study design based on an electronic questionnaire and consent from delivered from the Oslo University Hospital/University of Oslo, GDPR (General Data Protection Regulation) compliant ""TSD"" service has therefore been chosen. The study will be a case-control study based on a combined electronic consent form and questionnaire that the participants will fill in using a smartphone and electronic identification. The groups that will be included are: - Hospitalized and non-hospitalized patients/persons with COVID-19 at all stages of the disease and after the disease - Hospitalized patients without COVID-19 - Healthcare personal or other groups with an increased risk of COVID-19 - Healthy volunteers Participants may be followed with repeated questionnaires prospectively. Biological samples Biological samples may hold crucial information about the susceptibility to COVID-19 and for susceptibility to the progression of the disease. It is within the scope of the study to analyze such samples from a limited number of participants which will be asked to provide such samples or hospitalized patients that have surplus material. The material will be analyzed with non-genetic methods most suitable to provide such information. """,,,Not yet recruiting,Oslo University Hospital
132,"The Impact of Camostat Mesilate on COVID-19 Infection: An Investigator-initiated Randomized, Placebo-controlled, Phase IIa Trial"," SARS-CoV-2, one of a family of human coronaviruses, was initially identified in December 2019 in Wuhan city. This new coronavirus causes a disease presentation which has now been named COVID-19. The virus has subsequently spread throughout the world and was declared a pandemic by the World Health Organisation on 11th March 2020. As of 18 March 2020, there are 198,193 number of confirmed cases with an estimated case-fatality of 3%. There is no approved therapy for COVID-19 and the current standard of care is supportive treatment. SARS-CoV-2 exploits the cell entry receptor protein angiotensin converting enzyme II (ACE-2) to access and infect human cells. The interaction between ACE2 and the spike protein is not in the active site. This process requires the serine protease TMPRSS2. Camostat Mesilate is a potent serine protease inhibitor. Utilizing research on severe acute respiratory syndrome coronavirus (SARS-CoV) and the closely related SARS-CoV-2 cell entry mechanism, it has been demonstrated that SARS-CoV-2 cellular entry can be blocked by camostat mesilate. In mice, camostat mesilate dosed at concentrations similar to the clinically achievable concentration in humans reduced mortality following SARS-CoV infection from 100% to 30-35%. ",,"Dept. of Infectious Diseases, Odense University Hospital","Odense, Denmark",Not yet recruiting,University of Aarhus
133,Pandemic Response Network: Duke Community Health Watch," Coronavirus Disease 19 (COVID-19) represents an unprecedented challenge to the operations and population health management efforts of health care systems around the world. The Pandemic Research Network (PRN): Duke Community Health Watch"" study leverages technology, clinical research, epidemiology, telemedicine, and population health management capabilities to understand how to safely COVID-19. The target population is individuals in the Duke Health region who have flu-like symptoms, a viral test order for COVID-19, confirmed COVID-19, or concern for exposure to COVID-19. A subgroup of particular interest within the target population is health care workers (HCW) and families of HCW. Community members will enroll in the study electronically and for 28 days will be reminded via email or SMS to submit signs and symptoms related to COVID-19. Participants who report symptoms will be provided information about COVID-19 testing (if needed) and established mechanisms to seek care within Duke Health. Instructions for telemedicine and in-person visits, which is available publicly at https://www.dukehealth.org/covid-19-update, will be presented to participants. Participants who are unable to report symptoms independently may be contacted via telephone by Population Health Management Office (PHMO) or Clinical Events Classification (CEC) team members. Data collected through the ""Pandemic Research Network (PRN): Duke Community Health Watch"" study will be used for three objectives. - First, to characterize the epidemiological features of COVID-19. Specifically, we will have a high-risk subgroup of HCW and families of HCW that we enroll. - Second, to develop models that predict deterioration and the need for inpatient care, intensive care, and mechanical ventilation. - Third, to develop forecast models to estimate the volume of inpatient and outpatient resources needed to manage a COVID-19 population. The primary risk to study participants is loss of protected health information. To address this concern, all data will be stored in Duke's REDCap instance and the Duke Protected Analytics Compute Environment (PACE). """,,Duke University Medical Center,"Durham, United States",Not yet recruiting,Duke University
134,COVID-19 Ring-based Prevention Trial With Lopinavir/Ritonavir," COVID-19 has rapidly evolved into a generalized global pandemic. Post-exposure prophylaxis (PEP) against on COVID-19 was identified as an urgent research priority by the WHO, and lopinavir/ritonavir (LPV/r) is a promising candidate for both COVID-19 treatment and PEP, with a good safety profile and global availability. This is a cluster randomized controlled trial (RCT) of oral LPV/r as PEP against COVID-19, that will address the immediate need for preventive interventions, generate key data on COVID-19 transmission, and serve as a research platform for future vaccines and preventive agents. ",,Toronto General Hospital,"Toronto, Canada",Not yet recruiting,"St. Michael's Hospital, Toronto"
135,Outcomes and Prognostic Factors in Coronavirus Disease (COVID-19) in Very Old Intensive Care Patients," The primary aim is to study the short-term outcome of elderly ICU patients (≥ 70 years) suffering from COVID-19 using a multicenter and multi-national approach The secondary aim is to investigate the properties of a simple frailty index in this cohort, and in particular if this is an instrument that can be used in resource and outcome prediction in this group To create hypothesis for further studies, in particular on various outcome prediction To create hypothesis for further studies, in particular on various outcome prediction "," Data are collected regarding: Pre-Admission life conditions with Frailty (CFS, optional: KATZ ADL), Comorbidities, ICU-Admission (e.g. SOFA), ICU-Treatment, Survival Data are collected electronically through an e-CRF and with baseline documentation of the ICU. The database is located in Denmark, at the Department of Epidemiology, University of Aarhus. Each ICU will only have access through the database of their own patients, and patient ID is not registered (Names, birth-date or social security numbers) so it is in that sense anonymous. The goal is to recruit at 200 ICUs that will give data until September. Each center aims to recruit 20 patients, but more patients per center are possible. ","Division of Cardiology, Pulmonary Disease and Vascular Medicine","Duesseldorf, Germany",Recruiting,"Heinrich-Heine University, Duesseldorf"
136,The (Norwegian) NOR Solidarity Multicenter Trial on the Efficacy of Different Anti-viral Drugs in SARS-CoV-2 Infected Patients," The (World Health Organization) WHO NOR- (Coronavirus infectious disease) COVID 19 study is a multi-centre, adaptive, randomized, open clinical trial to evaluate the safety and efficacy of hydroxychloroquine, remdesivir and standard of care in hospitalized adult patients diagnosed with COVID-19. This trial will follow the core WHO protocol but has additional efficacy, safety and explorative endpoints. ",,,,Not yet recruiting,Oslo University Hospital
137,Plasma From Donors Recovered From New Coronavirus 2019 As Therapy For Critical Patients With Covid-19," The outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has become pandemic. To date, no specific treatment has been proven to be effective. Promising results were obtained in China using Hyperimmune plasma from patients recovered from the disease.We plan to treat critical Covid-19 patients with hyperimmune plasma. "," Apheresis from recovered donors will be performed with a cell separator device , with 500-600 mL of plasma obtained from each donor. Donors are males, age 18 yrs or more, evaluated for transmissible diseases according to the italian law. Adjunctive tests will be for hepatitis A virus, hepatatis E virusand Parvovirus B-19. All donors will be tested for the Covid-19 neutralizing title. Each plasma bag obtained from plasmapheresis will be immediately divided in two units and frozen according to the national standards and stored separately. Based on experience published in literature 250-300 mL of convalescent plasma will be used to treat each of the recruited patients at most 3 times over 5 days. ",Catherine Klersy,"Pavia, Italy","Active, not recruiting",Foundation IRCCS San Matteo Hospital
138,Evaluation of the Safety and Clinical Efficacy of Hydroxychloroquine Associated With Azithromycin in Patients With Pneumonia Caused by Infection by the SARS-CoV2 Virus - Alliance COVID-19 Brasil II - Severely-ill Patients," The Severe Acute Respiratory Syndrome COronaVirus 2 (SARS-CoV2) is a new and recognized infectious disease of the respiratory tract. Around 20% of those infected have severe pneumonia and currently there is no specific or effective therapy to treat this disease. Therapeutic options using malaria drugs chloroquine and hydroxychloroquine have shown promising results in vitro and in vivo test. But those efforts have not involved large, carefully-conducted controlled studies that would provide the global medical community the proof that these drugs work on a significant scale. In this way, the present study will evaluate the effectiveness and safety of the use of hydroxychloroquine combined with azithromycin compared to hydroxychloroquine monotherapy in patients hospitalized with pneumonia by SARS-CoV2 virus. "," The Severe Acute Respiratory Syndrome COronaVirus 2 (SARS-CoV2) is a new and recognized infectious disease of the respiratory tract that is now spreading to several countries in the world, including Brazil. Mortality rates after infection are higher in adults over 60 and with a history of comorbidities. The most serious patients need care in intensive care units (ICU). Most of the time they depend on mechanical ventilation support due to acute respiratory distress syndrome (ARDS). Infection rates are higher than the capacity for intensive care, which represents a serious problem in medical care. Around 20% of those infected have severe pneumonia and so far it does not have a specific therapy, or even, an effective clinical management. Therapeutic options using malaria drugs chloroquine and hydroxychloroquine have shown promising results in vitro and in vivo test. A recent, small, non-randomized study with hydroxychloroquine in 36 patients infected with SARS-Cov-2 proved to be promising in the ability to reset the viral load in 6 days after starting treatment. Thus, the present study will evaluate the effectiveness and safety of the use of hydroxychloroquine combined with azithromycin compared to hydroxychloroquine monotherapy in the clinical evolution by the ordinal scale of 7 points in adult patients hospitalized with pneumonia caused by infection by the SARS-CoV2 virus in Brazil. ",Universidade Federal de São Paulo,"São Paulo, Brazil",Not yet recruiting,Hospital Israelita Albert Einstein
